week_ending,type,avg_selling_price,total_bulk_and_bags_units,plu4046_units,plu4225_units,plu4770_units,total_bagged_units,sml_bagged_units,lrg_bagged_units,xlrg_bagged_units
2023-10-22,Organic,1.486734957,2186851,273430,279340,2024,1632059,NA,NA,NA
2023-10-29,Organic,1.469233501,2173101,276282,252197,3389,1641234,NA,NA,NA
2023-11-05,Organic,1.472913315,2196325,296293,244865,3955,1651213,NA,NA,NA
2023-11-12,Organic,1.472643589,2225876,293694,258704,4011,1669468,NA,NA,NA
2023-11-19,Organic,1.454362386,2181761,292181,240653,4218,1644711,NA,NA,NA
2023-11-26,Organic,1.492057949,1927727,271187,220995,3291,1432255,NA,NA,NA
2023-12-03,Organic,1.389124361,2421092,277138,274615,4162,1865178,NA,NA,NA
2023-12-10,Organic,1.384493207,2328745,282267,248905,4241,1793332,NA,NA,NA
2023-12-17,Organic,1.360990271,2307875,267745,224233,5337,1810562,NA,NA,NA
2023-12-24,Organic,1.354975313,2364947,277092,234928,5502,1847427,NA,NA,NA
2023-12-31,Organic,1.364678814,2128502,276180,246422,5150,1600752,NA,NA,NA
2024-01-08,Organic,1.32988416,2877105,335510,269111,5366,2267120,NA,NA,NA
2024-01-14,Organic,1.362854456,2693383,322388,298196,5544,2067256,NA,NA,NA
2024-01-21,Organic,1.330570249,2688054,314199,286007,5455,2082394,NA,NA,NA
2024-01-28,Organic,1.279673076,2942559,272377,289053,5316,2375815,NA,NA,NA
2024-02-04,Organic,1.314993152,2812826,281337,270613,7755,2253123,NA,NA,NA
2024-02-11,Organic,1.310279953,2858500,325026,321638,5614,2206224,NA,NA,NA
2024-02-18,Organic,1.283389456,2901702,293623,305846,3309,2298926,NA,NA,NA
2024-02-25,Organic,1.302757905,2949212,329458,315930,177,2303648,NA,NA,NA
2024-03-03,Organic,1.314583,2799410,293471,308858,23,2197060,NA,NA,NA
2024-03-10,Organic,1.283705,3029769,292976,309513,60,2427221,NA,NA,NA
2024-03-17,Organic,1.286759,2947451,301948,285252,30,2360222,NA,NA,NA
2024-03-24,Organic,1.305002,2989133,343642,289417,23,2356052,NA,NA,NA
2024-03-31,Organic,1.36516,3000025,322718,302891,63,2374355,NA,NA,NA
2024-04-07,Organic,1.36293,3179851,335144,341895,85,2502728,NA,NA,NA
2024-04-14,Organic,1.38736,3165544,319793,356002,64,2489687,NA,NA,NA
2024-04-21,Organic,1.37065,3149930,305047,277051,63,2567770,NA,NA,NA
2024-04-28,Organic,1.40363,3087530,325530,263042,64,2498895,NA,NA,NA
2024-05-05,Organic,1.40303,3229257,383572,316189,47,2529451,NA,NA,NA
2024-05-12,Organic,1.4787,3020029,351466,310468,29,2358067,NA,NA,NA
2024-05-19,Organic,1.51767,2841057,345499,297680,19,2197860,NA,NA,NA
2024-05-26,Organic,1.527390027,3010073,340749,316300,1530,2351495,NA,NA,NA
2024-06-02,Organic,1.553766874,2950636,353418,327361,1562,2268296,NA,NA,NA
2024-06-09,Organic,1.543818855,3163383,377594,363599,324,2421867,NA,NA,NA
2024-06-16,Organic,1.579927066,2909115,382151,317402,450,2209114,NA,NA,NA
2024-06-23,Organic,1.545470217,3036306,366764,343951,2336,2323257,NA,NA,NA
2024-06-30,Organic,1.584960631,2879195,371684,309672,573,2197268,NA,NA,NA
2024-07-07,Organic,1.65047693,2614926,395530,326213,68,1893116,NA,NA,NA
2024-07-14,Organic,1.656569462,2489158,317806,344242,141,1826970,NA,NA,NA
2024-07-21,Organic,1.664277898,2436093,336965,349504,40,1749587,NA,NA,NA
2024-07-28,Organic,1.677968569,2305265,332145,309756,59,1663307,NA,NA,NA
2024-08-04,Organic,1.686725592,2459273,330891,347455,105,1780823,NA,NA,NA
2024-08-11,Organic,1.665025193,2470013,323046,334923,38,1812008,NA,NA,NA
2024-08-18,Organic,1.67752872,2371686,303418,302156,1704,1764410,NA,NA,NA
2024-08-25,Organic,1.695493114,2397702,294633,287775,457,1814839,NA,NA,NA
2024-09-01,Organic,1.703209,2523460,298110,276264,80,1949007,NA,NA,NA
2024-09-08,Organic,1.695139286,2642528,317329,299221,1504,2024475,NA,NA,NA
2024-09-15,Organic,1.699739279,2444902,309935,259484,387,1875097,NA,NA,NA
2024-09-22,Organic,1.720158965,2381746,303846,273202,1039,1803662,NA,NA,NA
2024-09-29,Organic,1.732097096,2372016,286818,304739,439,1780023,NA,NA,NA
2024-10-06,Organic,1.706677869,2435516,276935,288091,1254,1869238,NA,NA,NA
2024-10-13,Organic,1.740573728,2256437,253646,296332,34,1706427,NA,NA,NA
2024-10-20,Organic,1.709555721,2329047,287290,282158,32,1759569,NA,NA,NA
2024-10-27,Organic,1.702402014,2401092,291914,269560,27,1839592,NA,NA,NA
2024-11-03,Organic,1.682038652,2371129,280108,272438,63,1818522,NA,NA,NA
2024-11-10,Organic,1.675450432,2664098,309992,331014,52,2023041,NA,NA,NA
2024-11-17,Organic,1.682911958,2445340,285192,282441,76,1877632,NA,NA,NA
2024-11-24,Organic,1.659510809,2245179,266147,227718,108,1751207,NA,NA,NA
2024-12-01,Organic,1.638381973,2075225,256080,212079,37,1607031,NA,NA,NA
2024-12-08,Organic,1.620100189,2377854,272467,270026,759,1834604,NA,NA,NA
2024-12-15,Organic,1.594256085,2462875,285289,243160,220,1934207,NA,NA,NA
2024-12-22,Organic,1.603094265,2376069,305732,212040,71,1858227,NA,NA,NA
2024-12-29,Organic,1.648506196,2128121,298989,212677,44,1616412,NA,NA,NA
